Rk,name,code,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV_G,PP_G,SH_G,GW_G,EV_A,PP_A,SH_A,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,W,L,OL,TM_PTS,DIV,PLAYOFF,ppg%,ppa%,pkg%,pka%,Color
78,Gabriel Bourque,bourqga01,28,COL,LW,55,2,6,8,3,10,0.2,2,0,0,1,5,0,1,34,5.9,536,9:44:00,48,100,7,13,35,38,30,14,90,CEN,y,0,0,0,0.166666667,#6F263D
79,Jay Bouwmeester,bouwmja01,35,STL,D,78,3,14,17,-3,40,3.5,3,0,0,1,14,0,0,82,3.7,1617,20:44:00,127,61,0,0,NA,45,28,9,99,CEN,y,0,0,0,0,#002F87
80,Madison Bowey,boweyma01,23,WSH,D,33,1,5,6,3,38,1.1,1,0,0,1,5,0,0,34,2.9,454,13:45:00,41,47,0,0,NA,48,26,8,104,MET,y,0,0,0,0,#041E42
80,Madison Bowey,boweyma01,23,DET,D,17,1,3,4,-4,8,0.5,1,0,0,0,3,0,0,14,7.1,309,18:12:00,22,25,0,0,NA,32,40,10,74,ATL,n,0,0,0,0,#CE1126
81,Johnny Boychuk,boychjo01,35,NYI,D,74,3,16,19,10,25,4.5,2,1,0,1,13,2,1,157,1.9,1393,18:50:00,120,144,0,0,NA,48,27,7,103,MET,y,0.333333333,0.125,0,0.0625,#00539B
82,Travis Boyd,boydtr01,25,WSH,C,53,5,15,20,6,6,1.7,5,0,0,1,13,2,0,35,14.3,521,9:50:00,21,13,76,134,36.2,48,26,8,104,MET,y,0,0.133333333,0,0,#041E42
83,Brian Boyle,boylebr01,34,NJD,C,47,13,6,19,-13,22,1.9,6,6,1,2,3,2,1,81,16,650,13:49:00,36,88,103,102,50.2,31,41,10,72,MET,n,0.461538462,0.333333333,0.076923077,0.166666667,#000000
83,Brian Boyle,boylebr01,34,NSH,C,26,5,0,5,-1,16,0.4,4,1,0,2,0,0,0,42,11.9,331,12:44:00,14,57,67,61,52.3,47,29,6,100,CEN,y,0.2,NaN,0,NaN,#FFB81C
84,Tyler Bozak,bozakty01,32,STL,C,72,13,25,38,-3,20,3.2,11,2,0,3,19,6,0,141,9.2,1177,16:21:00,33,52,451,379,54.3,45,28,9,99,CEN,y,0.153846154,0.24,0,0,#002F87
85,Erik Brannstrom,branner01,19,OTT,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,36,18:04:00,1,1,0,0,NA,29,47,6,64,ATL,n,NaN,NaN,NaN,NaN,#C2912C
86,Derick Brassard,brassde01,31,PIT,C,40,9,6,15,-6,29,1.1,9,0,0,0,4,2,0,62,14.5,597,14:56:00,12,69,200,221,47.5,44,26,12,100,MET,y,0,0.333333333,0,0,#FCB514
86,Derick Brassard,brassde01,31,COL,C,20,4,0,4,-7,8,0,2,2,0,0,0,0,0,32,12.5,300,15:00:00,3,20,69,67,50.7,38,30,14,90,CEN,y,0.5,NaN,0,NaN,#6F263D
86,Derick Brassard,brassde01,31,FLA,C,10,1,3,4,-6,2,0,1,0,0,0,2,1,0,16,6.3,153,15:17:00,0,13,14,17,45.2,36,32,14,86,ATL,n,0,0.333333333,0,0,#B9975B
87,Jesper Bratt,brattje01,20,NJD,RW,51,8,25,33,-8,6,2.8,7,1,0,1,18,7,0,91,8.8,774,15:10:00,22,36,4,3,57.1,31,41,10,72,MET,n,0.125,0.28,0,0,#000000
88,Justin Braun,braunju01,31,SJS,D,78,2,14,16,-14,35,1.6,2,0,0,0,13,1,0,105,1.9,1584,20:18:00,120,121,0,0,NA,46,27,9,101,PAC,y,0,0.071428571,0,0,#006D75
89,Connor Brickley,brickco01,26,NYR,C,14,1,3,4,3,9,0.4,1,0,0,0,3,0,0,18,5.6,126,8:59:00,6,35,0,7,0,32,36,14,78,MET,n,0,0,0,0,#0038A8
90,Daniel Brickley,brickda01,23,LAK,D,4,0,1,1,-2,0,0,0,0,0,0,1,0,0,2,0,51,12:49:00,4,5,0,0,NA,31,42,9,71,PAC,n,NaN,0,NaN,0,#111111
